epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,911.838,0.35685,0.2684,0.93362,0.72747,0.73333,0.79965,0.53781,1.43225,1.88555,1.39877,2.35472e-05,2.35472e-05,2.35472e-05
76,924.88,0.34887,0.33298,0.9747,0.72747,0.73333,0.79965,0.53781,1.43225,1.88555,1.39877,2.29819e-05,2.29819e-05,2.29819e-05
77,937.077,0.42501,0.3276,0.99898,0.72747,0.73333,0.79965,0.53781,1.43225,1.88555,1.39877,2.23929e-05,2.23929e-05,2.23929e-05
78,949.177,0.50508,0.38212,1.00958,0.75504,0.73333,0.82278,0.54099,1.44836,1.92874,1.41563,2.17805e-05,2.17805e-05,2.17805e-05
79,961.163,0.39901,0.37985,0.9129,0.75504,0.73333,0.82278,0.54099,1.44836,1.92874,1.41563,2.11444e-05,2.11444e-05,2.11444e-05
80,974.268,0.43308,0.45864,0.98636,0.75504,0.73333,0.82278,0.54099,1.44836,1.92874,1.41563,2.04848e-05,2.04848e-05,2.04848e-05
81,986.62,0.28682,0.25624,0.8584,0.70046,0.73333,0.76442,0.50455,1.45954,1.94233,1.41741,1.98016e-05,1.98016e-05,1.98016e-05
82,998.294,0.41512,0.29098,1.02159,0.70046,0.73333,0.76442,0.50455,1.45954,1.94233,1.41741,1.90949e-05,1.90949e-05,1.90949e-05
83,1010.49,0.42704,0.30271,0.98222,0.70046,0.73333,0.76442,0.50455,1.45954,1.94233,1.41741,1.83646e-05,1.83646e-05,1.83646e-05
84,1022.84,0.4399,0.39061,0.9856,0.53222,0.73333,0.74359,0.48716,1.48323,1.9499,1.43319,1.76107e-05,1.76107e-05,1.76107e-05
85,1034.96,0.36664,0.35126,1.01208,0.53222,0.73333,0.74359,0.48716,1.48323,1.9499,1.43319,1.68333e-05,1.68333e-05,1.68333e-05
86,1047.26,0.43435,0.38335,0.93222,0.53222,0.73333,0.74359,0.48716,1.48323,1.9499,1.43319,1.60323e-05,1.60323e-05,1.60323e-05
87,1059.88,0.36123,0.31822,0.91674,0.53222,0.73333,0.74359,0.48716,1.48323,1.9499,1.43319,1.52077e-05,1.52077e-05,1.52077e-05
88,1075.73,0.60701,0.45914,1.25713,0.75515,0.73333,0.74372,0.48792,1.45743,1.94341,1.41645,1.43596e-05,1.43596e-05,1.43596e-05
89,1087.51,0.72161,0.65172,1.33585,0.75515,0.73333,0.74372,0.48792,1.45743,1.94341,1.41645,1.34879e-05,1.34879e-05,1.34879e-05
90,1099.47,0.30248,0.27987,0.86499,0.75515,0.73333,0.74372,0.48792,1.45743,1.94341,1.41645,1.25927e-05,1.25927e-05,1.25927e-05
91,1111.65,0.2225,0.21842,0.803,0.75515,0.73333,0.74372,0.48792,1.45743,1.94341,1.41645,1.16739e-05,1.16739e-05,1.16739e-05
92,1124.35,0.30915,0.28984,0.84538,0.78779,0.63333,0.76652,0.51577,1.39769,1.90092,1.39285,1.07315e-05,1.07315e-05,1.07315e-05
93,1136.07,0.20729,0.22884,0.88845,0.78779,0.63333,0.76652,0.51577,1.39769,1.90092,1.39285,9.76562e-06,9.76562e-06,9.76562e-06
94,1148.02,0.2449,0.20247,0.7767,0.78779,0.63333,0.76652,0.51577,1.39769,1.90092,1.39285,8.77613e-06,8.77613e-06,8.77613e-06
95,1159.96,0.2076,0.19737,0.80737,0.78779,0.63333,0.76652,0.51577,1.39769,1.90092,1.39285,7.76308e-06,7.76308e-06,7.76308e-06
96,1172.45,0.2102,0.21853,0.86824,0.83853,0.63333,0.76667,0.50772,1.34139,1.89158,1.37322,6.72648e-06,6.72648e-06,6.72648e-06
97,1185.41,0.33433,0.29309,0.89941,0.83853,0.63333,0.76667,0.50772,1.34139,1.89158,1.37322,5.6663e-06,5.6663e-06,5.6663e-06
98,1197.5,0.24135,0.20852,0.79609,0.83853,0.63333,0.76667,0.50772,1.34139,1.89158,1.37322,4.58257e-06,4.58257e-06,4.58257e-06
99,1209.19,0.20678,0.1949,0.84459,0.83853,0.63333,0.76667,0.50772,1.34139,1.89158,1.37322,3.47528e-06,3.47528e-06,3.47528e-06
100,1221.1,0.27744,0.22656,0.85552,0.83521,0.63088,0.74453,0.53556,1.34485,1.87521,1.3754,2.34442e-06,2.34442e-06,2.34442e-06
